ateco,descrizione,cardinalita
84.11.10,"Pubblica Amministrazione",137
62.01.00,"Produzione di software",70
62.02.00,"Consulenza informatica",42
85.42.00,"Istruzione universitaria, accademie e conservatori",23
72.19.09,"Ricerca e sviluppo - Scienze naturali e Ingegneria",38
64.99.60,"Altre intermediazioni finanziarie",18
82.99.99,"Altri servizi di sostegno alle imprese",16
70.22.09,"Consulenza imprenditoriale e pianificazione aziendale",15
62.09.09,"Servizi connessi alle tecnologie dell'informatica",15
86.90.12,"Laboratori di analisi cliniche",6
**.**.**,"Altri settori",191
