ateco,descrizione,cardinalita
27.90.09,"Fabbricazione di altre apparecchiature elettriche",9
71.12.20,"Servizi di progettazione di ingegneria integrata",9
69.20.11,"Servizi forniti da dottori commercialisti",9
61.90.10,"Erogazione di servizi di accesso ad internet (ISP)",8
74.90.21,"Consulenza sulla sicurezza ed igiene dei posti di lavoro",6
26.20,"Fabbricazione di computer e unità periferiche",6
26.30.29,"Fabbricazione di altri apparecchi elettrici ed elettronici per telecomunicazioni",6
61.90.99,"Altre attivit connesse alle telecomunicazioni nca",6
61.10.00,"Telecomunicazioni fisse",5
63.11.30,"Hosting e fornitura di servizi applicativi (ASP)",5
