ateco,descrizione,cardinalita
84.11.10,"Pubblica Amministrazione",211
62.01.00,"Produzione di software non connesso all'edizione",132
62.09.09,"Servizi connessi alle tecnologie dell'informatica",41
64.99.60,"Intermediazioni finanziarie",39
62.02.00,"Consulenza nel settore delle tecnologie dell'informatica",30
82.99.99,"Servizi di sostegno alle imprese",25
85.42.00,"Istruzione universitaria, accademie e conservatori",21
72.19.09,"Ricerca e sviluppo sperimentale - Scienze naturali e Ingegneria",17
70.22.09,"Consulenza imprenditoriale e pianificazione aziendale",16
63.11.11,"Elaborazione elettronica di dati contabili",15
*.*.*,"Altri settori",392
