ateco,descrizione,cardinalita
84.11.10,"Pubblica Amministrazione",224
62.01.00,"Produzione di software non connesso all'edizione",88
64.99.60,"Altre intermediazioni finanziarie",72
70.22.09,"Consulenza imprenditoriale e pianificazione aziendale",21
62.09.09,"Servizi connessi alle tecnologie dell'informatica",20
72.19.09,"Ricerca e sviluppo sperimentale - Scienze naturali e Ingegneria",17
62.02.00,"Consulenza nel settore delle tecnologie dell'informatica",16
69.10.10,"Attività degli studi legali",12
69.20.11,"Servizi forniti da dottori commercialisti",10
26.30.29,"Fabbricazione di apparecchi elettrici ed elettronici per telecomunicazioni",8
*.*.*,"Altri settori",187
