ateco,descrizione,cardinalita
84.11.10,"Pubblica Amministrazione",547
62.01.00,"Produzione di software",281
64.99.60,"Intermediazioni finanziarie",124
62.09.09,"Servizi connessi alle tecnologie dell'informatica",70
62.02.00,"Consulenza nel settore delle tecnologie dell'informatica",87
85.42.00,"Istruzione universitaria, accademie e conservatori",48
82.99.99,"Altri servizi di sostegno alle imprese",47
70.22.09,"Consulenza imprenditoriale e pianificazione aziendale",46
72.19.09,"Ricerca e sviluppo - Scienze naturali e Ingegneria",67
63.11.11,"Elaborazione elettronica di dati contabili",26
*.*.*,"Altri settori",732
