ateco,descrizione,cardinalita
69.20.11,"Servizi forniti da dottori commercialisti",21
26.30.29,"Fabbricazione di altri apparecchi elettrici ed elettronici per telecomunicazioni",16
71.12.20,"Servizi di progettazione di ingegneria integrata",15
27.90.09,"Fabbricazione di altre apparecchiature elettriche nca",14
74.90.21,"Consulenza sulla sicurezza ed igiene dei posti di lavoro",12
69.10.10,"Attivit degli studi legali",12
71.12.10,"Attivit degli studi di ingegneria",11
74.90.93,"Altre attivit di consulenza tecnica nca",11
62.09.01,"Configurazione di personal computer",10
72.1,"RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA",10
82.20,"Attività dei call center",10
43.21.01,"Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione)",9
72.20.00,"Ricerca e sviluppo sperimentale nel campo delle scienze sociali e umanistiche",9
61.90.10,"Erogazione di servizi di accesso ad internet (ISP)",8
72.11,"Ricerca e sviluppo sperimentale nel campo delle biotecnologie",8
28.99.99,"Fabbricazione di altre macchine ed attrezzature per impieghi speciali nca (incluse parti e accessori)",7
33.20.03,"Installazione di strumenti ed apparecchi di misurazione, controllo, prova, navigazione e simili (incluse le apparecchiature di controllo dei processi industriali)",7
25.62,"Lavori di meccanica generale",7
26.20.00,"Fabbricazione di computer e unit periferiche",7
63.11.30,"Hosting e fornitura di servizi applicativi (ASP)",7
26.11.09,"Fabbricazione di altri componenti elettronici",7
41.20.00,"Costruzione di edifici residenziali e non residenziali",6
26.40.01,"Fabbricazione di apparecchi per la riproduzione e registrazione del suono e delle immagini",6
26.20,"Fabbricazione di computer e unità periferiche",6
79.11.00,"Attivit delle agenzie di viaggio",6
53.10,"Attività postali con obbligo di servizio universale",6
61.90.99,"Altre attivit connesse alle telecomunicazioni nca",6
18.12,"Altra stampa",6
46.51.00,"Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software",6
86.90.12,"Laboratori di analisi cliniche",6
