ateco,descrizione,cardinalita
62.01,"Produzione di software",10
84.11.10,"Pubblica amministrazione",3
26.12,"Fabbricazione di schede elettroniche assemblate",2
26.30.10,"Fabbricazione di apparecchi trasmittenti radiotelevisivi",2
27.90.09,"Fabbricazione di altre apparecchiature elettriche",2
28.25.00,"Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione",2
31.01.21,"Fabbricazione di altri mobili metallici per ufficio e negozi",2
41.20.00,"Costruzione di edifici residenziali e non residenziali",2
43.21.01,"Installazione di impianti elettrici",2
43.22.01,"Installazione di impianti idraulici",2
