ateco,descrizione,cardinalita
62.01,"Produzione di software non connesso all'edizione",16
84.11.10,"Attivit degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali",14
64.99.60,"Altre intermediazioni finanziarie nca",6
27.90.09,"Fabbricazione di altre apparecchiature elettriche nca",5
62.01.00,"Produzione di software non connesso all'edizione",5
85.42.00,"Istruzione universitaria e post-universitaria; accademie e conservatori",4
26.11.09,"Fabbricazione di altri componenti elettronici",3
26.30.29,"Fabbricazione di altri apparecchi elettrici ed elettronici per telecomunicazioni",3
72.20.00,"Ricerca e sviluppo sperimentale nel campo delle scienze sociali e umanistiche",3
28.25.00,"Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione; fabbricazione di condizionatori domestici fissi",2
63.11.20,"Gestione database (attivit delle banche dati)",2
43.21.01,"Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione)",2
62.03.00,"Gestione di strutture e apparecchiature informatiche hardware - housing (esclusa la riparazione)",2
43.22.01,"Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione) in edifici o in altre opere di costruzione",2
41.20.00,"Costruzione di edifici residenziali e non residenziali",2
26.12,"Fabbricazione di schede elettroniche assemblate",2
25.61.00,"Trattamento e rivestimento dei metalli",2
25.9,"FABBRICAZIONE DI ALTRI PRODOTTI IN METALLO",2
31.01.21,"Fabbricazione di altri mobili metallici per ufficio e negozi",2
28.49.09,"Fabbricazione di altre macchine utensili (incluse parti e accessori) nca",2
26.30.10,"Fabbricazione di apparecchi trasmittenti radiotelevisivi (incluse le telecamere)",2
74.90.21,"Consulenza sulla sicurezza ed igiene dei posti di lavoro",2
25.62,"Lavori di meccanica generale",2
72.1,"RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA",2
72.19.09,"Ricerca e sviluppo sperimentale nel campo delle altre scienze naturali e dell'ingegneria",2
62.02,"Consulenza nel settore delle tecnologie dell'informatica",2
71.12.10,"Attivit degli studi di ingegneria",2
85.42,"Istruzione universitaria e post-universitaria; accademie e conservatori",2
74.90.91,"Attivit tecniche svolte da periti industriali",1
49.41.00,"Trasporto di merci su strada",1
82.99.99,"Altri servizi di sostegno alle imprese nca",1
69.20.11,"Servizi forniti da dottori commercialisti",1
52.29.21,"Intermediari dei trasporti",1
