84.11.10,"Attivit degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali",74
62.01.00,Produzione di software non connesso all'edizione,22
82.99.99,Altri servizi di sostegno alle imprese nca,12
71.12.20,Servizi di progettazione di ingegneria integrata,9
62.09.09,Altre attivit dei servizi connessi alle tecnologie dell'informatica nca,9
85.42.00,Istruzione universitaria e post-universitaria; accademie e conservatori,9
72.19.09,Ricerca e sviluppo sperimentale nel campo delle altre scienze naturali e dell'ingegneria,7
70.22.09,Altre attivit di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,6
62.01,Produzione di software non connesso all'edizione,6
62.02.00,Consulenza nel settore delle tecnologie dell'informatica,5
08.12,Estrazione di ghiaia e sabbia; estrazione di argille e caolino,4
49.39.09,Altre attivit di trasporti terrestri di passeggeri nca,4
64.99.60,Altre intermediazioni finanziarie nca,4
88.10.00,Assistenza sociale non residenziale per anziani e disabili,4
28.14,Fabbricazione di altri rubinetti e valvole,2
28.22.02,"Fabbricazione di gru, argani, verricelli a mano e a motore, carrelli trasbordatori, carrelli elevatori e piattaforme girevoli",2
32.99.30,Fabbricazione di oggetti di cancelleria,2
33.12,Riparazione e manutenzione di macchinari,2
41.20.00,Costruzione di edifici residenziali e non residenziali,2
43.39.01,Attivit non specializzate di lavori edili (muratori),2
46.45.00,Commercio all'ingrosso di profumi e cosmetici,2
46.69.91,Commercio all'ingrosso di strumenti e attrezzature di misurazione per uso scientifico,2
47.52.10,"Commercio al dettaglio di ferramenta, vernici, vetro piano e materiale elettrico e termoidraulico",2
58.11.00,Edizione di libri,2
61.90.10,Erogazione di servizi di accesso ad internet (ISP),2
63.11.30,Hosting e fornitura di servizi applicativi (ASP),2
63.11.11,Elaborazione elettronica di dati contabili (esclusi i Centri di assistenza fiscale - Caf),2
63.11.19,Altre elaborazioni elettroniche di dati,2
14.13.10,Confezione in serie di abbigliamento esterno,2
63.11.10,Elaborazione dati,2
79.11.00,Attivit delle agenzie di viaggio,2
20.16.00,Fabbricazione di materie plastiche in forme primarie,2
26.2,FABBRICAZIONE DI COMPUTER E UNIT PERIFERICHE,2
26.30.29,Fabbricazione di altri apparecchi elettrici ed elettronici per telecomunicazioni,2
85.59.20,Corsi di formazione e corsi di aggiornamento professionale,2
27.12.00,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricit,2
88.91.00,Servizi di asili nido; assistenza diurna per minori disabili,2
35.13.00,Distribuzione di energia elettrica,1
61.10.00,Telecomunicazioni fisse,1
74.90.93,Altre attivit di consulenza tecnica nca,1
62.09.01,Configurazione di personal computer,1
82.91.10,Attivit di agenzie di recupero crediti,1
49.32.20,Trasporto mediante noleggio di autovetture da rimessa con conducente,1
63.99.00,Altre attivit dei servizi di informazione nca,1
72.2,RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE SOCIALI E UMANISTICHE,1
35.11.00,Produzione di energia elettrica,1
69.20.15,Gestione ed amministrazione del personale per conto terzi,1
28.29.99,Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale nca,1
26.51.29,"Fabbricazione di altri apparecchi di misura e regolazione, strumenti da disegno, di contatori di elettricit, gas, acqua ed altri liquidi, di bilance analitiche di precisione (incluse parti staccate ed accessori)",1
93.29.20,"Gestione di stabilimenti balneari: marittimi, lacuali e fluviali",1
84.12.20,Regolamentazione dell'attivit degli organismi preposti all'istruzione,1
