84.11.10,"Attivit degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali",25
64.99.60,Altre intermediazioni finanziarie nca,13
62.01.00,Produzione di software non connesso all'edizione,5
62.02.00,Consulenza nel settore delle tecnologie dell'informatica,5
62.01,Produzione di software non connesso all'edizione,4
62.09.09,Altre attivit dei servizi connessi alle tecnologie dell'informatica nca,4
20.59.60,Fabbricazione di prodotti ausiliari per le industrie tessili e del cuoio,2
25.62.00,Lavori di meccanica generale,2
26.40.01,Fabbricazione di apparecchi per la riproduzione e registrazione del suono e delle immagini,2
28.99.99,Fabbricazione di altre macchine ed attrezzature per impieghi speciali nca (incluse parti e accessori),2
29.20.00,"Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi",2
30.12.00,Costruzione di imbarcazioni da diporto e sportive,2
56.10.11,Ristorazione con somministrazione,2
62.02,Consulenza nel settore delle tecnologie dell'informatica,2
62.09.01,Configurazione di personal computer,2
70.22.09,Altre attivit di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,2
71.12.10,Attivit degli studi di ingegneria,2
86.90.21,Fisioterapia,2
69.10.10,Attivit degli studi legali,1
74.90.21,Consulenza sulla sicurezza ed igiene dei posti di lavoro,1
77.33.00,Noleggio di macchine e attrezzature per ufficio (inclusi i computer),1
95.11.00,Riparazione e manutenzione di computer e periferiche,1
